시군구,스포츠,역사,자연힐링,문화예술,맛집
고령군,0.19926108374384235,0.9820218579234973,0.22692307692307692,0.33792270531400964,0.0
해남군,0.276784031871652,0.703288110043339,0.4705930129747291,0.5152840246543395,0.0
사하구,0.9986836792376645,0.08612021857923498,0.45271317829457364,0.7395169082125603,0.26930232558139533
보성군,0.14716361495801963,0.518944221053717,1.10112847515217,0.6182435511803847,0.088635366388767
곡성군,0.2579115165839583,0.8621634726391134,0.02049476345250993,0.5075865822957066,0.0
밀양시,0.4734986136908127,1.4001092896174865,0.035624211853720056,0.23085451809614316,0.2584826534502478
금정구,1.143583945732052,0.32356362217017953,0.0,1.17123878536922,0.7009966777408638
예산군,0.32634645466754003,1.040708358631856,0.5159069325735992,0.38405797101449274,0.0
금산군,0.32103661442270826,0.6220454881110619,0.7768537768537769,0.3076772424598512,0.27011313639220613
양천구,1.9848352941253713,0.0818339330934293,0.0,0.6987745964416165,0.5737379466817925
장성군,0.18968209103878975,0.8693442622950819,0.46742328709541825,0.13932446345133445,0.0
의정부시,1.9091328912696917,0.1125925925925926,0.010113960113960114,0.7080515297906602,1.2940568475452197
완도군,0.333180087932762,0.26147454928789643,0.9552202329807163,0.20965993381262124,0.0
오산시,1.1420765027322404,0.1837346900320332,0.015030946065428824,0.7079793436615026,0.38251804330392947
영광군,0.3617191621480841,0.7201459072728297,0.29920882282426275,0.1680487076049604,0.1006952769120115
강진군,0.2661848232792269,1.0234426229508196,0.5451770451770451,0.18995859213250516,0.0
군포시,1.4063446626380367,0.07824787815370306,0.013502454991816694,0.5509816013978825,0.45522018802572983
동대문구,1.6090904886834791,0.501321283452431,0.0,0.5285209959123003,0.9084675014907573
양평군,0.5406878174434111,0.7207251253946124,1.4574780058651027,1.4052623004235907,1.4141717247493693
함안군,0.39228747418882814,1.0303957769642953,0.0,0.03748651564185544,0.0
아산시,1.0852757568416131,0.7899034844936484,0.21478521478521478,0.7042317585795846,0.5792811839323467
청양군,0.2886819719330928,0.6063515233176135,0.32174218475588334,0.4618655284230031,0.0
봉화군,0.14126498536101834,1.0353776920604307,0.34407993966817496,0.2930164819551009,0.0
정읍시,0.6372101031200132,0.9673301059889243,0.026243331612459127,0.40769380410465905,0.0
진주시,1.315938304643676,2.5054915327598333,0.032241685707032244,1.5480102358061893,0.3735896845498503
울진군,0.36251821554252306,0.27963963963963967,1.141637254427952,0.3614505810157984,0.257950974230044
괴산군,0.21122342064397925,0.8553200375900596,0.8051200391964723,0.11814209667989783,0.0
익산시,1.0703500076026926,1.7306845369960122,0.0,0.7953388170779475,0.07990257699560024
청송군,0.0719972933586474,0.4603685845923069,1.1651583710407238,0.4373401534526854,0.17875056999544003
동래구,1.4753444995971354,0.3941646771712027,0.0,0.5849162797242156,1.096297132535561
광산구,1.682101646552979,0.21538575530239884,0.0,0.9398386964709736,0.6598344501379582
무주군,1.1379579531077553,0.39,0.474989491382934,0.18007048388374117,0.08616088448341594
영천시,0.4239384654326098,0.781013360798787,0.6638139347563431,0.4243366972709107,0.0
