,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
0,서울특별시 강남구,4681899.0,227438.57142857142,27999477.0,29437557.0,28349901.0,2168218.428571428,98549222.57142857,0.0,7660.0,191488692.0
1,서울특별시 강동구,86946.0,231541.57142857142,5863096.0,9500638.0,2338230.0,872267.4285714286,25382923.571428575,0.0,17301.0,44360264.0
2,서울특별시 강북구,419085.0,430108.99999999994,2505485.0,6420236.0,3277662.0,3538251.0,11829140.0,154548.0,564.0,28202221.0
3,서울특별시 강서구,25319180.0,805636.5714285714,5323442.0,16538216.0,4454421.0,294578.4285714285,15935817.57142857,0.0,12375.0,68751676.0
4,서울특별시 관악구,20944.0,116978.0,4175451.0,16565924.0,4156550.0,698803.0,25503570.0,502648.0,3576.0,51082096.0
5,서울특별시 광진구,3321744.0,356093.0,16988076.0,9025195.0,11145648.0,578576.0,18620199.0,23859.0,250518.0,59647049.0
6,서울특별시 구로구,10567.0,405087.99999999994,6617155.0,25993097.0,6166465.0,123636.0,12711235.0,1180880.0,1057.0,52835793.0
7,서울특별시 금천구,0.0,0.0,2098084.0,15233085.0,2391662.0,411692.4285714285,6211697.571428571,0.0,6864.0,26400951.0
8,서울특별시 노원구,481727.0,2586247.571428572,4513052.0,28106131.0,960941.0,376482.4285714285,13143520.57142857,1313.4285714285725,6537.0,50284702.0
9,서울특별시 도봉구,58644.0,76006.57142857142,2411479.0,11375135.0,1254043.0,291969.4285714285,10564410.57142857,39730.42857142858,524.0,26180431.0
10,서울특별시 동대문구,461397.0,674594.0,2205633.0,21513487.0,2541152.0,342461.0,18657178.0,102738.0,152719.0,46278501.0
11,서울특별시 동작구,36277.0,0.0,8185103.0,8425983.0,4098356.0,992202.4285714286,26587684.571428575,0.0,967.0,48369595.0
12,서울특별시 마포구,221603.0,154953.57142857142,23979932.0,15400423.0,11368866.0,572210.4285714286,49850033.57142857,0.0,20331.0,101652955.0
13,서울특별시 서대문구,26777.0,52145.0,11338674.0,15748432.0,8680699.0,2529022.0,32681875.0,64124.0,7751.0,70465936.0
14,서울특별시 서초구,5633684.0,157400.57142857142,21203136.0,41037799.0,13746188.0,3536189.428571428,49646408.57142857,1493664.4285714286,12292.0,136574146.0
15,서울특별시 성동구,5726.0,0.0,12970931.0,16772100.0,1062995.0,42192.428571428565,21100244.571428575,6984.4285714285725,15096.0,52056551.0
16,서울특별시 성북구,72324.0,1360067.5714285714,2574022.0,14153635.0,1524023.0,3448489.428571428,20365481.571428575,0.0,3485.0,43568414.0
17,서울특별시 송파구,228246.0,339171.5714285715,21440424.0,38759794.0,9067793.0,281970.4285714285,34199558.57142857,743233.4285714286,14726.0,105182615.0
18,서울특별시 양천구,0.0,1929729.0,4141324.0,16502967.0,129137.0,192844.0,11908804.0,689.0,3788.0,34436423.0
19,서울특별시 영등포구,884895.0,444967.5714285715,14366587.0,43326264.0,10577471.0,14976.428571428572,26245127.571428575,4639.4285714285725,960.0,95975597.0
20,서울특별시 용산구,8701952.0,107570.57142857142,24033921.0,11960048.0,12174859.0,223324.42857142858,27296034.571428575,973570.4285714286,1712.0,85581742.0
21,서울특별시 은평구,744216.0,395360.99999999994,2324941.0,13842024.0,1364831.0,2592689.0,11605463.0,111535.0,4240.0,32612439.0
22,서울특별시 종로구,6824439.0,84280.57142857142,29610632.0,12501180.0,14166217.0,17124082.428571425,35933268.57142857,151990.42857142858,11652.0,116517658.0
