,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
37,경기도 부천시,2027107.0,205284.71428571426,8855916.0,23963436.0,2298807.0,370291.61904761905,24678941.714285716,88197.95238095237,43197.0,62603679.0
38,경기도 성남시 분당구,890592.0,1562137.714285714,5009957.0,19818701.0,2601105.0,243511.61904761905,45786237.71428572,0.0,13678.0,75989038.0
39,경기도 성남시 수정구,141248.0,976311.7142857143,4351673.0,4364645.0,3371943.0,447677.61904761905,22223732.714285716,33636.95238095238,49725.0,36032733.0
40,경기도 성남시 중원구,0.0,13586.714285714288,2039619.0,8804759.0,2976633.0,85494.61904761905,9553810.714285713,24896.95238095238,84925.0,23655988.0
41,경기도 수원시 권선구,2427807.0,656735.7142857143,2683929.0,14431571.0,1561498.0,93009.61904761905,14940102.714285713,0.0,102006.0,36958541.0
42,경기도 수원시 영통구,7438.0,286209.7142857143,5719987.0,18187832.0,915317.0,13405.619047619046,24223282.714285716,148402.95238095237,9917.0,49583795.0
43,경기도 수원시 장안구,12015.0,43154.71428571429,6594278.0,6661308.0,723739.0,664006.6190476189,15485765.714285713,570279.9523809524,791086.0,31618132.0
44,경기도 수원시 팔달구,6915052.0,94760.71428571429,6815272.0,9890497.0,6314693.0,4157013.6190476194,21809121.714285716,0.0,3363.0,56055866.0
45,경기도 시흥시,173299.0,2536989.7142857146,8376280.0,10938733.0,1883025.0,191212.61904761905,22518136.714285716,717329.9523809524,71694.0,47479199.0
46,경기도 안산시 단원구,843918.0,1484093.714285714,6074680.0,12143499.0,5347522.0,61915.61904761905,18646021.714285716,350160.9523809524,57253.0,45081112.0
47,경기도 안산시 상록구,1361880.0,2650722.7142857146,3202670.0,3349873.0,1608470.0,214848.61904761905,12302542.714285713,130849.95238095237,139943.0,25034550.0
48,경기도 안성시,1013420.0,7551184.714285715,2601854.0,6892519.0,1546222.0,874024.6190476189,11639099.714285713,944585.9523809524,102372.0,33237782.0
49,경기도 안양시 동안구,75531.0,418081.7142857143,2540703.0,13275749.0,1045558.0,12372.619047619046,18552601.714285716,0.0,1798.0,35966917.0
