기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
경기도 안산시 상록구,1361880.0,2671437.0,3202670.0,3349873.0,1608470.0,218301.0,12323257.0,158469.0,139943.0,25034550.0
경기도 안성시,1013420.0,7571899.0,2601854.0,6892519.0,1546222.0,877477.0,11659814.0,972205.0,102372.0,33237782.0
경기도 안양시 동안구,75531.0,438796.0,2540703.0,13275749.0,1045558.0,15825.0,18573316.0,0.0,1798.0,35966917.0
경기도 안양시 만안구,321787.0,850400.0,6854442.0,4009598.0,1899660.0,1852667.0,10664914.0,92925.0,3717.0,26550110.0
경기도 양주시,264408.0,2259027.0,4132705.0,2366331.0,2003808.0,384755.0,16732981.0,1041032.0,457082.0,29642128.0
경기도 양평군,4194487.0,1644069.0,2097096.0,965119.0,5262970.0,1170664.0,13014340.0,1093290.0,90369.0,29532404.0
경기도 여주시,358287.0,8176766.0,845905.0,3756640.0,1027387.0,584205.0,8367837.0,184990.0,85128.0,23386911.0
경기도 연천군,958540.0,723542.0,887412.0,98951.0,1546438.0,769751.0,2184255.0,795074.0,100564.0,8064446.0
경기도 오산시,137361.0,134798.0,1650122.0,10225936.0,1098116.0,186821.0,11875545.0,312905.0,5382.0,25626985.0
경기도 용인시 기흥구,84631.0,6232234.0,3002846.0,17256945.0,1062013.0,2531700.0,21408499.0,6192.0,19094.0,51604154.0
경기도 용인시 수지구,68291.0,29665.0,1029620.0,11289353.0,648920.0,203328.0,17618486.0,927.0,12360.0,30900951.0
경기도 용인시 처인구,3929627.0,6906445.0,8132168.0,3344187.0,3969236.0,423519.0,15967046.0,500126.0,355181.0,43527100.0
경기도 의왕시,443901.0,215426.0,1948557.0,6469690.0,631695.0,518097.0,14980811.0,341049.0,35819.0,25585045.0
경기도 의정부시,524622.0,684871.0,2424563.0,12294963.0,1339626.0,165827.0,19712171.0,25655.0,8923.0,37180849.0
경기도 이천시,1947826.0,7792738.0,2406223.0,5322769.0,2298070.0,349169.0,14170176.0,119971.0,1405987.0,35812213.0
경기도 파주시,5706142.0,3770112.0,4351213.0,8583487.0,2321003.0,780140.0,22188126.0,612170.0,234965.0,48546386.0
경기도 평택시,1186168.0,578701.0,4582652.0,9598907.0,2409139.0,139176.0,23479270.0,254239.0,74030.0,42302705.0
경기도 포천시,652795.0,5776719.0,1934587.0,922133.0,4010604.0,229046.0,9768123.0,2864833.0,882922.0,27042032.0
