기준연월,지역명,방문자 수
202201,강원도,1.1941122E7
202202,강원도,9689337.0
202203,강원도,1.0250173E7
202204,강원도,1.1695493E7
202205,강원도,1.3184421E7
202206,강원도,1.2640716E7
202207,강원도,1.6128129E7
202208,강원도,1.7713804E7
202209,강원도,1.3312038E7
202210,강원도,1.5191343E7
202211,강원도,1.1258977E7
202212,강원도,1.0513452E7
202301,강원도,1.2615103E7
202302,강원도,1.1185138E7
202303,강원도,1.2152894E7
202304,강원도,1.1165055E7
202305,강원도,1.2499217E7
202306,강원도,1.2290288E7
